PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
262,186,0.41365,0.5069833,0.6183167,416.0371,2390.902588,11857.79297,29.421
263,186,0.3223333,0.5069833,0.6183167,417.0356,3640.370117,19794.83203,51.97921
264,186,0.2141,0.5069833,0.8109667,426.9226,1890.849243,8494.084961,62.21992
265,186,0.2141,0.5069833,0.6718,427.2591,20233.02344,94692.86719,656.6276
266,186,0.2547667,0.5069833,0.6453,427.5968,8132.604004,36536.85938,3301.549
267,186,0.2087667,0.5069833,0.7556334,427.9313,3204.821289,14519.93945,18.37802
268,186,0.2671667,0.5069833,0.6581333,429.7348,1693.140991,7637.966309,213.9969
269,186,0.2777667,0.5069833,0.60565,430.6507,5400.569336,23552.67969,829.9133
270,186,0.3736667,0.5069833,0.60565,430.9856,4802.705566,21110.1875,112.5702
271,186,0.3223333,0.5069833,0.6183167,431.3191,1735.817261,10312.37207,149.9373
272,186,0.1714,0.5069833,0.7138,432.7797,4122.162109,21191.99414,225.5629
273,186,0.3329667,0.5069833,0.5929833,433.3267,1466.379028,7298.45459,155.4402
274,186,0.1821,0.5069833,0.6318,433.7799,18864.42383,90345.78906,1603.147
275,186,0.4278167,0.5069833,0.6183167,434.0302,17006.36133,80165.79688,82.95647
276,186,0.3865,0.5069833,0.6453,434.2817,10520.1875,50839.125,63.23262
277,186,0.2671667,0.5069833,0.6183167,434.5315,2989.359863,13158.90918,312.4961
278,186,0.3865,0.5069833,0.6718,435.3215,1891.00769,9881.748047,107.4932
279,186,0.2034167,0.5069833,0.7831333,441.9373,3089.392334,14164.21387,96.99192
280,186,0.2141,0.5069833,0.7969667,460.4948,1213.200439,5348.944336,102.5391
281,186,0.2087667,0.5069833,0.6318,460.8958,1364.606201,6383.533691,75.632
282,186,0.2087667,0.5069833,0.5929833,469.7896,4344.366699,19429.80664,600.6537
283,186,0.12875,0.5069833,0.6183167,470.0359,4043.44458,18614.45898,28.57967
284,186,0.2671667,0.5069833,0.7556334,470.5364,1075.248169,4689.871582,92.23198
285,186,0.1981,0.5069833,0.7694666,472.966,1730.385376,7788.362793,27.36984
286,186,0.19275,0.5069833,0.8362833,475.609,1757.325073,8251.481445,230.5613
287,186,0.2371,0.5069833,0.7416334,478.6644,1042.738525,4782.050781,107.1241
288,186,0.16075,0.5069833,0.6318,479.5671,2679.750977,12035.51563,118.079
289,186,0.17675,0.5069833,0.6318,479.8203,3253.359619,14447.48535,399.2727
290,186,0.44215,0.5069833,0.6318,480.071,1590.393799,7035.592285,18.95227
291,186,0.12875,0.5069833,0.6318,481.0475,1003.826721,4420.52832,13.77711
